Month,Rent,Groceries,Utilities,Car,Subscriptions,Dining,Savings
Jan,1650,481.53,120.56,312,64.97,200.66,500
Feb,1650,433.76,147.51,312,64.97,152.17,500
Mar,1650,431.02,145.52,312,64.97,96.37,500
Apr,1650,502.39,114.89,312,64.97,105.42,500
May,1650,500.66,167.88,312,64.97,111.05,500
Jun,1650,462.42,153.92,312,64.97,251.11,500
Jul,1650,529.65,137.77,312,64.97,255.96,500
Aug,1650,428.85,170.09,312,64.97,139.23,500
Sep,1650,447.41,118.25,312,64.97,142.44,500
Oct,1650,575.06,122.65,312,64.97,188.87,500
Nov,1650,541.39,136.07,312,64.97,183.12,500
Dec,1650,431.93,114.17,312,64.97,125.01,500
